Transfer_id,account_id,service,amount,Date
EMZBGBTV,GB84QLZR92573888186371,Transport,770,2022-01-2
NYYCGBBL,GB07NECZ29302018802896,Food,760,2022-01-22
AIYVGBWK,GB78QTBD19426145714704,Shopping,920,2022-01-14
AWFJGBZE,GB61GSQH05301441816211,Supermarket,930,2022-01-4
XDAGGBB9,GB21JOGK81718085828272,Supermarket,640,2022-01-22
RPOGGB38,GB83SUFF65316849554352,Transport,880,2022-01-30
YHLPGB6B,GB13DJBL28446954832347,Entertainment,490,2022-01-21
TTVIGBLE,GB73AEIO38486888067870,Shopping,580,2022-01-22
PBYOGBGI,GB21YICV57032964936613,Food,750,2022-01-25
WWGCGBVY,GB45QSCY82890955516179,Shopping,740,2022-01-1
ANEUGB9R,GB86QLTA22080797819972,Supermarket,320,2022-01-29
YDUAGBG2,GB19DYBC21144277926820,Entertainment,170,2022-01-14
JELTGBRE,GB16DTWS80377581456106,Shopping,200,2022-01-28
WDKXGB8A,GB07TJIJ21227891635883,Transport,290,2022-01-12
HMATGB10,GB69JVFD33620898701486,Shopping,920,2022-01-10
ECPKGBVZ,GB68YLYX43599762823809,Transport,980,2022-01-2
FUSSGB1I,GB23YWTH89764529163385,Shopping,300,2022-01-12
CYXPGBZV,GB32IZPZ80307512808134,Shopping,280,2022-01-10
NSCOGBHF,GB09DQUQ87755803857058,Transport,920,2022-01-26
BRLLGB8O,GB09HMBZ33025112153511,Transport,260,2022-01-19
GWMNGBGU,GB44KEFI60589122313845,Supermarket,910,2022-01-4
NMJAGB9F,GB16JOLO85384025532932,Transport,440,2022-01-8
MGCWGBOS,GB02JQJS23210882753147,Entertainment,460,2022-01-17
EFFCGBJ9,GB70NUWR72153622486497,Shopping,890,2022-01-18
QWDRGB95,GB37EMBA71303500027672,Entertainment,940,2022-01-7
LODEGBR7,GB06HLTR33531390862639,Supermarket,970,2022-01-18
PWTDGBK8,GB06XBIQ20408064418696,Supermarket,100,2022-01-28
OMSTGBBR,GB48DJED24856080363215,Shopping,770,2022-01-9
MFLBGBTI,GB33NNEM96703004176329,Food,340,2022-01-3
ROYVGBD8,GB58TXZG93558882336719,Food,830,2022-01-15
SJXRGBOS,GB26YFAA53235808556073,Shopping,610,2022-01-24
WDRBGB1H,GB21CMJF24091076822411,Transport,690,2022-01-9
GVAPGBWO,GB10HGWI07953093434190,Shopping,680,2022-01-5
RZGWGB96,GB38CVTL16446985397705,Entertainment,790,2022-01-15
YANJGBU8,GB36RDFW11282787155468,Shopping,130,2022-01-26
FEYWGBJM,GB19AAOK98934574593366,Food,570,2022-01-30
TEVBGBH5,GB52ZYWG28400703450821,Entertainment,160,2022-01-7
WJZTGBAC,GB98JOVK01788678420946,Supermarket,410,2022-01-7
LRRBGBNE,GB19OESN94253466761314,Entertainment,680,2022-01-23
AREDGBAX,GB40JTTG85426436826075,Supermarket,890,2022-01-6
TGITGBIA,GB16LZRY99526476526974,Supermarket,500,2022-01-22
ZOJHGB9S,GB05NYXG60221107635922,Supermarket,180,2022-01-4
YWAXGBCS,GB73XDQM16342904094055,Shopping,220,2022-01-13
ZQAIGBDX,GB26QXPD65897257187611,Entertainment,560,2022-01-8
XDKYGB4I,GB76UXEU86077956891587,Transport,880,2022-01-30
QNDDGBQM,GB87RCGC97140240957992,Transport,120,2022-01-9
DEPIGB05,GB72LTOD84073219484251,Transport,610,2022-01-8
ZDDYGB67,GB22NSZB63433389014487,Supermarket,580,2022-01-9
FOJVGBYR,GB07LQAV51951563352179,Food,620,2022-01-3
SHVHGBJ2,GB56USAP09504926855014,Transport,260,2022-01-22
BZVIGB9H,GB97BAUS74834169070315,Entertainment,120,2022-01-13
SCLLGB98,GB74QZFS23901621489609,Food,600,2022-01-4
NYWNGBXP,GB68CPWV89283422909746,Supermarket,400,2022-01-18
EKUUGBHF,GB36TVHI87260349659849,Food,930,2022-01-24
LLNAGBL5,GB86LBFM78517999384739,Entertainment,490,2022-01-22
BDOSGBZ6,GB27PIMY55067872465872,Entertainment,120,2022-01-23
FPASGBVD,GB61AHFD54500704683186,Transport,400,2022-01-16
DFEMGB33,GB41GMDR53001238686520,Supermarket,100,2022-01-10
SNJZGBKI,GB38FBJV14324770585173,Supermarket,770,2022-01-3
IXOIGB99,GB58IUVG42961938729475,Supermarket,370,2022-01-12
VUEJGBIQ,GB04JZPN28004428543168,Entertainment,350,2022-01-23
OIYEGBI7,GB52ZWZF14506289619772,Transport,900,2022-01-29
QJOZGBVI,GB44YDIT21548768944841,Entertainment,990,2022-01-12
XLOMGBXF,GB48UPGX13635432653696,Food,320,2022-01-24
TFUWGBJP,GB48IUWN51495138449026,Supermarket,540,2022-01-24
RWXAGBU2,GB68NNZT23313524506017,Food,550,2022-01-10
ZSJLGBWH,GB61GSQH05301441816211,Entertainment,870,2022-01-12
YQVMGBJ8,GB91MZDO92400493457210,Transport,720,2022-01-26
LHIUGB4W,GB14SGVN33501543050813,Supermarket,570,2022-01-19
EOXFGB8E,GB04VVTY52569744568068,Supermarket,710,2022-01-1
FBSNGB28,GB96GWAU88445987592890,Entertainment,720,2022-01-20
HKVKGB3U,GB35IZMT79544583085321,Supermarket,550,2022-01-24
IRYHGBP3,GB64SBYV35832317832621,Supermarket,300,2022-01-19
JDGSGBA8,GB02FNYS35831594490712,Entertainment,460,2022-01-26
ZCSPGBWP,GB60BNXE88843503569800,Food,170,2022-01-18
ALFCGBL8,GB58DQEW16102493301212,Food,670,2022-01-3
ONDJGBVQ,GB46UWOC83067148304047,Shopping,720,2022-01-6
UIEEGBBB,GB83ZGIV72700876240964,Entertainment,240,2022-01-1
YURZGB61,GB74QZFS23901621489609,Transport,330,2022-01-6
LATTGBXC,GB12DQSM34694931179414,Entertainment,280,2022-01-25
LKMRGBQX,GB21DXGV25242934314331,Transport,130,2022-01-23
MNBMGBMS,GB47PEXS70697102515534,Supermarket,610,2022-01-10
ABQDGB45,GB25KAZW79620810441555,Supermarket,350,2022-01-4
UQUBGBAC,GB64BLJD44029249027501,Supermarket,750,2022-01-16
SWMNGB0C,GB75EJTF26737075786487,Supermarket,220,2022-01-13
MMPDGBCO,GB48MZCE87975684125174,Shopping,720,2022-01-1
XJSGGBBP,GB21DIOB94089746703589,Supermarket,830,2022-01-10
BSMCGBVR,GB64OYUW54689667669741,Supermarket,290,2022-01-1
GSXXGBAK,GB96IDBK64833853222585,Transport,600,2022-01-23
VLFVGB3A,GB86FLQI62859656803036,Food,670,2022-01-26
EZWEGB5V,GB43RLUT48791208199418,Supermarket,440,2022-01-14
MEHPGBX4,GB48IUWN51495138449026,Transport,350,2022-01-25
OXRMGBQ8,GB77YQKJ95865654600841,Food,490,2022-01-29
OVJQGBNP,GB87LEQA71579826208453,Shopping,800,2022-01-29
LFDGGBQF,GB49BAIM00843950624035,Food,560,2022-01-25
RLCZGB2L,GB21YICV57032964936613,Shopping,470,2022-01-30
QOEDGB29,GB15ZMUW89846885143911,Food,850,2022-01-23
OQKSGBD7,GB63GYQN19065790270315,Transport,860,2022-01-3
ZZUCGBVS,GB20GCEK03391101465405,Entertainment,580,2022-01-19
AKWDGB4O,GB69HMCQ79721493814801,Transport,530,2022-01-23
YAFEGBJM,GB43FBJT81656999233986,Supermarket,360,2022-01-29
FLIVGBN3,GB73OOZW05862858913770,Food,320,2022-01-9
ZMFVGB7A,GB10IBBM17794785402571,Food,440,2022-01-7
FGAMGBE7,GB69IDHL21700347221155,Supermarket,730,2022-01-8
NNSRGB70,GB26WCRM03410652807176,Entertainment,620,2022-01-5
RPANGB8E,GB12DHMT04002530918060,Supermarket,900,2022-01-21
IWJXGBZ5,GB17FUXX08963834635198,Shopping,660,2022-01-18
JJOYGBTL,GB75ZIPP05446861082582,Transport,950,2022-01-3
VHHCGB1J,GB27LVMX05781031033371,Transport,490,2022-01-27
XHBXGBTD,GB42GHJH83549884975160,Food,260,2022-01-24
RYJVGB6B,GB97NDRQ88329233151912,Entertainment,920,2022-01-2
YPIKGB7N,GB88OZQV19943353508638,Food,480,2022-01-4
GCVEGBJ3,GB52UPDP96919931843847,Shopping,260,2022-01-24
MFJAGBB8,GB48FLVG71524266535635,Supermarket,430,2022-01-10
YZHGGBK2,GB68YLYX43599762823809,Transport,160,2022-01-10
RVDEGBVC,GB27DIHA39030527744222,Supermarket,870,2022-01-1
GQDLGB14,GB87TBZI19004580731810,Shopping,400,2022-01-7
JHCQGBZ6,GB79TMNT41164913461659,Food,100,2022-01-12
LDCFGBQL,GB70NUWR72153622486497,Entertainment,350,2022-01-26
MHUZGBCS,GB69VCYN33631985172906,Transport,190,2022-01-18
LQZUGBIT,GB74VADB75870363979034,Transport,370,2022-01-1
XSYBGBVY,GB68GZZF82168851101071,Shopping,230,2022-01-6
VQRLGBMH,GB59GNFB76353079037515,Shopping,420,2022-01-4
MZTIGBV0,GB56ZJFS59923213088373,Transport,580,2022-01-16
MRTPGBPV,GB74VADB75870363979034,Supermarket,280,2022-01-29
UMRAGB4T,GB79DYIT07094387020959,Entertainment,700,2022-01-22
NMGAGB5S,GB73DBGJ20724397228117,Shopping,370,2022-01-12
BNYXGBCD,GB02SYRG40030941218021,Supermarket,600,2022-01-27
SMLSGB42,GB36XSVE15544626885223,Transport,670,2022-01-22
TCOHGBAO,GB54WTPH81438996831663,Entertainment,230,2022-01-21
EZMVGBVY,GB68CPWV89283422909746,Food,300,2022-01-14
WESMGBDS,GB26QXPD65897257187611,Shopping,470,2022-01-4
LCMUGBZJ,GB58OOUC73599992342221,Shopping,940,2022-01-5
HPPYGBDP,GB39LEFT41642027755469,Transport,260,2022-01-16
LUPIGBKX,GB96SYMO38593337743683,Entertainment,530,2022-01-2
BVLUGBS6,GB45SVOP51113302535199,Entertainment,850,2022-01-10
XXCFGBOP,GB24TXGQ71041669639052,Supermarket,200,2022-01-27
PUVBGBTI,GB17OCBR96565288191637,Transport,560,2022-01-12
QGTHGBAA,GB90SZNV70201012143166,Transport,520,2022-01-8
VHPKGBQK,GB04AVCK60712162194528,Transport,130,2022-01-30
PSVCGBOU,GB97NDRQ88329233151912,Food,770,2022-01-17
ZLKPGBDS,GB17WTSL84663150913030,Entertainment,940,2022-01-10
LQCDGBNS,GB87LEQA71579826208453,Food,890,2022-01-22
MGGCGBPZ,GB17DDDJ26555216474303,Entertainment,140,2022-01-14
SSYIGB7I,GB66OEBQ09317900977535,Supermarket,610,2022-01-12
NSSUGBOJ,GB48LYVI46969510438970,Entertainment,760,2022-01-25
JGWWGBQW,GB04VVTY52569744568068,Shopping,580,2022-01-23
XOMFGBKR,GB21HDWO44756009294199,Food,430,2022-01-3
UIWAGBZU,GB32JRLK95735002924781,Supermarket,610,2022-01-17
FNIYGBGQ,GB54RKYJ30811359240839,Shopping,290,2022-01-26
HLGRGBVN,GB95KSQZ37322719315265,Food,970,2022-01-18
LDPAGBLF,GB75VQOT41542913019478,Food,630,2022-01-2
TLJXGB6I,GB38KPJK35464578836301,Entertainment,130,2022-01-26
YZMWGBPN,GB27XJNW45468840221143,Supermarket,400,2022-01-1
GWNRGBAC,GB32YBPQ89809047203119,Supermarket,540,2022-01-6
QUNDGB17,GB30BFKS62513630025270,Transport,820,2022-01-5
JGVYGB54,GB24JKTN46167103942667,Supermarket,530,2022-01-18
FYNZGBS9,GB56CATF62012107336014,Shopping,900,2022-01-11
FHHQGBLK,GB71WWBE87637637505429,Entertainment,490,2022-01-9
ELRQGBIW,GB66FAGL11274240222364,Food,820,2022-01-24
GMHVGB0K,GB25SNBT26966728261222,Supermarket,630,2022-01-28
PIPIGB2U,GB06BWGL20947401282272,Transport,740,2022-01-2
JILEGBL1,GB40NFJI14170541525010,Food,850,2022-01-26
FQWWGBSN,GB29DSFW10626297940819,Transport,290,2022-01-30
SDXXGBS1,GB73XDQM16342904094055,Entertainment,890,2022-01-30
QJZNGB1H,GB74YUHG34349727185432,Entertainment,870,2022-01-6
VHJPGB6O,GB64UKCA61606747463526,Entertainment,790,2022-01-15
TNIUGBXX,GB91MZDO92400493457210,Supermarket,210,2022-01-4
GOROGBX1,GB40CDFU76505234279424,Transport,260,2022-01-24
SJUNGBXG,GB29IDVD53357494050305,Transport,870,2022-01-15
EHFHGB0G,GB59NJBA45955506031173,Shopping,670,2022-01-26
SSICGBOB,GB63GYQN19065790270315,Supermarket,840,2022-01-9
CWTKGB5A,GB41WNAQ20140170050173,Entertainment,390,2022-01-1
CMEPGBD8,GB30QCAV99301946046367,Transport,230,2022-01-17
DFVYGBSI,GB08AMDU65751912429016,Shopping,890,2022-01-9
VDVMGBKK,GB23FBEP93821543148238,Shopping,410,2022-01-3
GKHSGBU8,GB24RBNS68599669379585,Entertainment,580,2022-01-12
YMVDGBFB,GB86HZHO17095280290563,Shopping,710,2022-01-29
USOXGB7Z,GB28FOSV16797537089232,Transport,900,2022-01-25
PHNPGB3X,GB51FXNE34073917204728,Shopping,340,2022-01-8
EMUYGBSJ,GB55CTFP19926586415525,Shopping,560,2022-01-5
JULXGBZ0,GB62WMJR11714956100553,Transport,600,2022-01-23
OLPJGBRU,GB34OHDU44033362925347,Food,370,2022-01-16
FWLBGBRX,GB23FBPA38577018207813,Entertainment,750,2022-01-23
UNDFGBNS,GB73PVBE29751564187567,Transport,800,2022-01-19
YJPVGBCR,GB17MUWD06823795329673,Entertainment,810,2022-01-12
QINXGBJW,GB58OOUC73599992342221,Entertainment,230,2022-01-21
DRIDGBL1,GB31GUNO74007805495237,Entertainment,510,2022-01-14
CFAAGB4S,GB89VWIK11375987183801,Food,910,2022-01-7
DCDSGB5D,GB10XTQN02411578955729,Supermarket,630,2022-01-18
UQYBGBRS,GB84ZWEF59507977147036,Supermarket,490,2022-01-9
HBIKGBHJ,GB22APGS59321516065835,Supermarket,240,2022-01-9
BQAJGBJ6,GB89QKXG48188212428490,Transport,200,2022-01-20
ZLHBGB5D,GB73PXUQ78115100527386,Food,190,2022-01-29
OSQHGBK6,GB77ZCFT67467029649024,Food,300,2022-01-25
NKQIGBCN,GB82TOPS75454491088322,Entertainment,230,2022-01-17
MJADGBD9,GB68YNXV97259119311573,Food,620,2022-01-15
WUSEGB6M,GB16DTWS80377581456106,Supermarket,360,2022-01-27
CDNMGBGI,GB98DUJU73466454668230,Transport,250,2022-01-30
KVKNGBE2,GB29LCHN04340743703120,Food,860,2022-01-1
ZNPMGB4O,GB59JTIC06440138237523,Shopping,930,2022-01-19
ELAXGBFW,GB52IPCC71739774698003,Food,690,2022-01-17
VGVVGBH5,GB05BCUS60391726666835,Transport,970,2022-01-27
MRVNGB8G,GB90SZNV70201012143166,Shopping,790,2022-01-21
BWFMGBGH,GB18BLHI90758600556359,Supermarket,990,2022-01-17
XNIRGBV4,GB76NKZM67666503666991,Transport,750,2022-01-1
BSWAGB5W,GB29FGXE21060166778831,Transport,200,2022-01-22
NBTUGBJO,GB70CRUA21461424058343,Supermarket,960,2022-01-21
QNNYGBJY,GB15XLJD27657348666112,Transport,320,2022-01-8
XJMAGBF0,GB34IFZW44308255922009,Supermarket,530,2022-01-12
SKFQGB4X,GB06XBIQ20408064418696,Shopping,180,2022-01-16
QGFAGBKX,GB15ZMUW89846885143911,Shopping,540,2022-01-14
VXNHGBFQ,GB12BJSK90449396455956,Food,860,2022-01-10
IBRIGBZJ,GB38STOJ61593897166249,Supermarket,640,2022-01-3
MZZOGB0H,GB94KSLM39124904227321,Supermarket,460,2022-01-7
EQNHGBFY,GB30IFXZ23595781252922,Entertainment,370,2022-01-30
CTQEGB3T,GB41BFLC24571832655391,Transport,560,2022-01-17
NIATGBR1,GB36RDFW11282787155468,Transport,230,2022-01-18
YVVEGB6D,GB82CPND15543817992783,Shopping,920,2022-01-10
ROFZGBF8,GB18HPFH65167089173783,Entertainment,550,2022-01-5
FGODGBYC,GB80FZVE70552430128658,Entertainment,510,2022-01-27
TOBHGB1C,GB40CDFU76505234279424,Food,510,2022-01-7
ZHJCGB7S,GB98GPPA16698846790680,Supermarket,880,2022-01-26
AYCXGBUB,GB11VGUT03218031047887,Food,220,2022-01-30
JYGGGBLV,GB86BWDT58953502705085,Food,510,2022-01-26
NAYPGBU2,GB06JGKQ75832097178962,Shopping,860,2022-01-8
LUNCGBJM,GB96IDBK64833853222585,Transport,960,2022-01-19
ILCDGB1Y,GB30DOCO49283665100456,Supermarket,420,2022-01-15
ZWFEGBEJ,GB30MRYP91359776685917,Shopping,120,2022-01-22
KSXAGBPQ,GB44WLYX15382020660557,Entertainment,280,2022-01-26
RLBNGBEE,GB08AMDU65751912429016,Entertainment,150,2022-01-29
XCSTGBEA,GB46KLSC35572980273803,Transport,800,2022-01-15
DMLFGBQM,GB50NZDE57320590039179,Shopping,220,2022-01-10
FJPWGBZ8,GB22QQXI38329855612944,Food,850,2022-01-20
LHPDGBFM,GB05WQIK47310655373531,Entertainment,320,2022-01-2
DOTJGBHZ,GB11VGUT03218031047887,Food,950,2022-01-22
JOUSGBRA,GB32RXUL14022625584935,Transport,980,2022-01-30
QWKRGBLX,GB78GODX25928323885939,Food,550,2022-01-25
RCTTGBKC,GB84QLZR92573888186371,Entertainment,820,2022-01-28
UFFQGB65,GB58TFQZ63170085355750,Supermarket,500,2022-01-11
JEEUGB1P,GB56ZJFS59923213088373,Supermarket,580,2022-01-14
OMLZGBHA,GB02JQJS23210882753147,Food,710,2022-01-2
WZHFGBZP,GB45QSCY82890955516179,Entertainment,210,2022-01-29
EFWTGBP6,GB78SVZM48993775302003,Supermarket,200,2022-01-19
SGPWGBNS,GB46LRMU03200145465286,Food,350,2022-01-25
GJKFGBGV,GB17FBVU72982686089272,Food,570,2022-01-29
JPRJGB0R,GB16JOLO85384025532932,Transport,610,2022-01-6
CSWYGBDH,GB78XHDM81341475998674,Shopping,420,2022-01-7
ODAKGB7K,GB36JAIV25204747251853,Supermarket,990,2022-01-29
ZHAPGBW4,GB40CDFU76505234279424,Entertainment,450,2022-01-3
ZAHAGBG5,GB59GNFB76353079037515,Supermarket,750,2022-01-9
PEFEGB1U,GB55JXJF46439977760158,Shopping,690,2022-01-11
BSWBGBEF,GB62WCOR33943095231021,Entertainment,610,2022-01-4
RGFOGBOU,GB36ACOG77991187325138,Shopping,530,2022-01-11
WLZFGBZ0,GB33ASQK70160361336280,Entertainment,170,2022-01-4
KXTOGBDM,GB44WLYX15382020660557,Supermarket,560,2022-01-2
BSIGGBO9,GB57RUWS02611929138359,Supermarket,720,2022-01-30
QIBAGBPO,GB15RCNM33241669134326,Transport,630,2022-01-22
MZGIGBIN,GB34WSAC04046773391197,Food,420,2022-01-17
KPGXGBF5,GB10XTQN02411578955729,Supermarket,840,2022-01-20
QVSFGB4J,GB35IZMT79544583085321,Entertainment,240,2022-01-4
WEOXGBUR,GB17FBVU72982686089272,Supermarket,910,2022-01-12
TRZIGBX4,GB41QCIJ27055214104324,Transport,850,2022-01-8
XQGOGBZZ,GB44KYYZ47747614101666,Entertainment,820,2022-01-30
BCNHGBDH,GB82NSXD57978202257876,Entertainment,530,2022-01-20
YERRGB28,GB32JRLK95735002924781,Transport,340,2022-01-13
WLMPGBI9,GB54PZOR65854946813843,Supermarket,800,2022-01-2
ENKWGBCQ,GB92UMMN01852682105040,Supermarket,510,2022-01-1
UITQGBY7,GB26ESEB92235764656872,Transport,550,2022-01-13
VOPHGBKS,GB63RDSO62280090481143,Food,240,2022-01-2
PRSNGB12,GB19SYCC40480016246574,Supermarket,260,2022-01-10
EVYVGBQ9,GB77XTOZ70489285566706,Entertainment,950,2022-01-25
JKPGGBF5,GB24JKTN46167103942667,Shopping,480,2022-01-8
ULYGGBT1,GB83ITUE66476905946932,Shopping,170,2022-01-28
RCHBGBLI,GB18CKDG97043916339745,Transport,960,2022-01-15
UWCZGBWR,GB10DRGE19291812423428,Supermarket,410,2022-01-30
QLVWGBN3,GB77YQCX84624275155233,Supermarket,890,2022-01-28
SCOQGBEF,GB76RGOL82015847163070,Food,600,2022-01-20
LMFHGB8L,GB33DAOI03969855368978,Transport,500,2022-01-27
LZTMGBO6,GB31RIVY04338368921635,Supermarket,420,2022-01-8
NBLDGBFT,GB43FBJT81656999233986,Transport,470,2022-01-19
CEZDGBR7,GB13EWFA43234924681192,Shopping,680,2022-01-21
TKUMGB5Y,GB64OILU43799282935211,Food,880,2022-01-5
MHWHGBOO,GB12DQSM34694931179414,Entertainment,210,2022-01-30
IQKBGBK0,GB73OOZW05862858913770,Transport,960,2022-01-4
YZXRGBQG,GB43FXGI33734494558520,Shopping,950,2022-01-1
WYIWGB1Q,GB23FBEP93821543148238,Food,840,2022-01-23
HQXAGB4J,GB05BCUS60391726666835,Shopping,780,2022-01-6
OWULGBOS,GB54XVRZ25148066477194,Food,150,2022-01-24
TSGVGBYG,GB73DBGJ20724397228117,Entertainment,130,2022-01-24
UMBJGBVY,GB73MRCQ23931260160247,Entertainment,470,2022-01-3
PPNCGBMT,GB92RJTZ04732847949965,Transport,860,2022-01-29
DSVYGBD4,GB55ZKBT65244976848349,Food,510,2022-01-30
IBPCGBTG,GB82NSXD57978202257876,Food,290,2022-01-12
XKUMGB5R,GB42AXQI76370119398893,Entertainment,450,2022-01-1
CKDWGBNX,GB66TZOV24794716479655,Shopping,340,2022-01-7
PNGPGBH3,GB30QCAV99301946046367,Food,740,2022-01-19
FTYRGBTX,GB81IFGP80845221326228,Food,320,2022-01-7
QADEGBJD,GB34YBJE88917058532688,Food,670,2022-01-24
EKDWGB33,GB38CVTL16446985397705,Transport,170,2022-01-18
XHFMGB28,GB49WFQW02692375290450,Supermarket,450,2022-01-6
HHWJGBTK,GB08AMDU65751912429016,Food,250,2022-01-30
VFVZGBEX,GB46VJZE55073647656107,Entertainment,780,2022-01-8
MRAFGBJT,GB83ZGIV72700876240964,Food,600,2022-01-6
BTREGBO4,GB60YCKY19574033780857,Supermarket,430,2022-01-29
QYUPGBNU,GB19UHQS54145456932474,Food,530,2022-01-15
IVZVGBRL,GB39DNCC66684713221039,Entertainment,910,2022-01-12
ZTCLGB8C,GB50PEHD25236461186968,Transport,210,2022-01-7
ISNLGBGB,GB19WURR58138038349040,Entertainment,920,2022-01-23
RRAIGBR1,GB85LILB99368997376484,Supermarket,300,2022-01-23
IPYTGB7W,GB47GAJY46629607275532,Transport,890,2022-01-28
ZIHIGB4E,GB15TSQO63000172124932,Shopping,180,2022-01-10
CBRPGB4W,GB27JZBG63558328549387,Shopping,610,2022-01-29
NQRCGBVG,GB62NAKR56333969020710,Entertainment,340,2022-01-30
OOFHGBN2,GB43NMZI71650059062352,Supermarket,920,2022-01-27
TXQZGB4B,GB68GRDG52910632964487,Supermarket,560,2022-01-7
UOLAGBHZ,GB32AOOD40750569916507,Supermarket,690,2022-01-13
QWBBGBFT,GB69ZCVI22762267991416,Shopping,190,2022-01-14
XWGZGB4K,GB05QZKS69917963825820,Supermarket,820,2022-01-3
YBSNGBUT,GB46LFOQ12602693112287,Entertainment,960,2022-01-25
MFNGGBOU,GB36TSBP68694615844381,Entertainment,640,2022-01-12
ENBWGBB8,GB42AXQI76370119398893,Food,940,2022-01-13
NGWYGBQD,GB29DSFW10626297940819,Transport,690,2022-01-11
LXFOGBGM,GB02VTSM50851169546499,Food,370,2022-01-24
ACCFGBA6,GB78CMRH46293749469694,Entertainment,960,2022-01-28
VVSPGBDF,GB52YGBR78937383657989,Shopping,310,2022-01-25
RQPGGBTW,GB30CEHJ18185935869825,Transport,880,2022-01-15
YJIMGBPQ,GB64MZBQ37430639858343,Food,970,2022-01-16
DMNGGB8M,GB62WMJR11714956100553,Food,340,2022-01-20
ZJGWGBNY,GB45LQOL11852117060590,Transport,630,2022-01-17
SJMSGBJV,GB85VWVY29658854137273,Food,990,2022-01-7
OEMGGB51,GB74SVUR16942021411948,Transport,770,2022-01-21
RVLEGB3D,GB46VJZE55073647656107,Food,990,2022-01-4
KCIGGB0U,GB43NMZI71650059062352,Transport,120,2022-01-26
MAFCGBOO,GB53XUYG11596494434908,Entertainment,910,2022-01-23
UXBAGBW0,GB91DZBU19568173809183,Entertainment,260,2022-01-28
DEFKGBSV,GB07EAZE86744248531964,Transport,210,2022-01-15
OOGNGB09,GB80QUAW13546134029211,Shopping,220,2022-01-29
JYJYGBCM,GB74SVUR16942021411948,Entertainment,790,2022-01-13
QTPMGB1J,GB82DNVC98772443782930,Entertainment,440,2022-01-25
